日期,UID,获取积分数
2022/4/29,12,5366.676
2022/4/29,123,1079.674
2022/4/29,1234,22222
2022/4/29,12345,4039.973
2022/4/29,123456,22222
2022/4/29,1234567,22222
2022/4/29,12345678,333333
2022/4/29,123456789,20000
2022/4/29,,5.88
2022/4/29,,27.44
2022/4/29,,3160.789
2022/4/29,,3090.97
2022/4/29,,3029.2
2022/4/29,,1091.04
2022/4/29,,7614.812
2022/4/29,,8008.59
2022/4/29,,10.08
2022/4/29,,14
2022/4/29,,7121.116
2022/4/29,,27.44
2022/4/29,,521.36
2022/4/29,,1043.931
2022/4/29,,13.44
2022/4/29,,249.823
2022/4/29,,110.88
2022/4/29,,15.12
2022/4/29,,16969.734
2022/4/29,,620.046
2022/4/29,,7
2022/4/29,,169.96
2022/4/29,,1.68
2022/4/29,,6442.75
2022/4/29,,142.88
2022/4/29,,3506.048
2022/4/29,,27.44
2022/4/29,,3.99
2022/4/29,,1785.29
2022/4/29,,0.28
2022/4/29,,5.88
2022/4/29,,0.28
2022/4/29,,4.2
2022/4/29,,7.84
2022/4/29,,202.44
2022/4/29,,1.96
2022/4/29,,263.52
2022/4/29,,500.12
2022/4/29,,473.5
2022/4/29,,128.24
2022/4/29,,6043.12
2022/4/29,,117.6
2022/4/29,,204.68
2022/4/29,,169.68
2022/4/29,,558.666
2022/4/29,,53.2
2022/4/29,,818.64
2022/4/29,,212.4
2022/4/29,,1.68
2022/4/29,,0.28
2022/4/29,,3.92
2022/4/29,,514.204
2022/4/29,,19.338
2022/4/29,,7
2022/4/29,,48
2022/4/29,,31.36
2022/4/29,,12157.92
2022/4/29,,1339.47
2022/4/29,,574.08
2022/4/29,,3.36
2022/4/29,,129.36
2022/4/29,,6.72
2022/4/29,,144.76
2022/4/29,,14
2022/4/29,,1516.6
2022/4/29,,184.058
2022/4/29,,14
2022/4/29,,7
2022/4/29,,606.16
2022/4/29,,141.76
2022/4/29,,143.997
2022/4/29,,19.6
2022/4/29,,4.2
2022/4/29,,0.28
2022/4/29,,5.88
2022/4/29,,170.296
2022/4/29,,1555.84
2022/4/29,,2.24
2022/4/29,,86.919
2022/4/29,,19.74
2022/4/29,,4649.138
2022/4/29,,1485.148
2022/4/29,,82.32
2022/4/29,,578
2022/4/29,,1304.76
2022/4/29,,199.92
2022/4/29,,0.399
2022/4/29,,11018.373
2022/4/29,,1675.853
2022/4/29,,142.6
2022/4/29,,2566.738
2022/4/29,,4694.262
2022/4/29,,1814.32
2022/4/29,,17.64
2022/4/29,,240.324
2022/4/29,,492.08
2022/4/29,,2489.781
2022/4/29,,263.71
2022/4/29,,21.56
2022/4/29,,7.78
2022/4/29,,376.44
2022/4/29,,1366
2022/4/29,,280.16
2022/4/29,,3.99
2022/4/29,,7173.171
2022/4/29,,306.84
2022/4/29,,56.56
2022/4/29,,24591.72
2022/4/29,,790.08
2022/4/29,,132.902
2022/4/29,,8.12
2022/4/29,,225.036
2022/4/29,,692.08
2022/4/29,,35.42
2022/4/29,,367.4
2022/4/29,,2550.468
2022/4/29,,0.798
2022/4/29,,206.941
2022/4/29,,1935.497
2022/4/29,,0.399
2022/4/29,,207.48
2022/4/29,,1415.869
2022/4/29,,458.44
2022/4/29,,301.814
2022/4/29,,1002.588
2022/4/29,,496.561
2022/4/29,,393.366
2022/4/29,,45.36
2022/4/29,,7351.421
2022/4/29,,125.972
2022/4/29,,2268.28
2022/4/29,,33.32
2022/4/29,,76.44
2022/4/29,,310.399
2022/4/29,,446.36
2022/4/29,,4439.802
2022/4/29,,4443.198
2022/4/29,,7587.071
2022/4/29,,600.28
2022/4/29,,1.96
2022/4/29,,781.908
2022/4/29,,3007.92
2022/4/29,,35.112
2022/4/29,,19.04
2022/4/29,,72.52
2022/4/29,,3120.511
2022/4/29,,265.72
2022/4/29,,3.717
2022/4/29,,2769.468
2022/4/29,,30.338
2022/4/29,,1762.541
2022/4/29,,5.6
2022/4/29,,0.28
2022/4/29,,17.199
2022/4/29,,38.92
2022/4/29,,16.52
2022/4/29,,18.2
2022/4/29,,0.72
2022/4/29,,0.56
2022/4/29,,11.872
2022/4/29,,3.08
2022/4/29,,48.72
2022/4/29,,4.2
2022/4/29,,89.012
2022/4/29,,0.56
2022/4/29,,16.24
2022/4/29,,126.56
2022/4/29,,0.28
2022/4/29,,285.44
2022/4/29,,19.32
2022/4/29,,6.44
2022/4/29,,116.2
2022/4/29,,2.8
2022/4/29,,49.84
2022/4/29,,2403.77
2022/4/29,,271.24
2022/4/29,,475.58
2022/4/29,,1438.92
2022/4/29,,58.8
2022/4/29,,19.6
2022/4/29,,1.68
2022/4/29,,42.581
2022/4/29,,231.24
2022/4/29,,903.359
2022/4/29,,0.28
2022/4/29,,81.48
2022/4/29,,603.729
2022/4/29,,111.16
2022/4/29,,140.28
2022/4/29,,27.86
2022/4/29,,534.268
2022/4/29,,105.35
