日期,uid,获取积分总数
2022/5/1,962886,191.6
2022/5/1,2110454,8
2022/5/1,2104757,1378.6
2022/5/1,2102242,3215.6
2022/5/1,2095137,136.4
2022/5/1,2094181,68
2022/5/1,2094066,6328.6
2022/5/1,2089983,49.8
2022/5/1,2086905,2
2022/5/1,2084096,1801.2
2022/5/1,2083935,457.8
2022/5/1,2083159,932.8
2022/5/1,2082425,5.8
2022/5/1,2078932,846
2022/5/1,2078753,1016.8
2022/5/1,2072888,5709.4
2022/5/1,2072322,1149.6
2022/5/1,2072077,197.2
2022/5/1,2068396,536.4
2022/5/1,2059679,1.6
2022/5/1,2058725,54
2022/5/1,2054800,1185.4
2022/5/1,2054202,12
2022/5/1,2053916,3324.4
2022/5/1,2045410,34
2022/5/1,2036979,1268.2
2022/5/1,2022240,54
2022/5/1,2021957,205.6
2022/5/1,2016848,2.4
2022/5/1,2003521,72.8
2022/5/1,2001621,44
2022/5/1,2001525,95
2022/5/1,2001049,185
2022/5/1,2000264,338.2
2022/5/1,1999345,1066.6
2022/5/1,1992398,1480
2022/5/1,1968967,96.2
2022/5/1,1954127,33.2
2022/5/1,1948281,414.8
2022/5/1,1947099,14.8
2022/5/1,1946906,255
2022/5/1,1936323,315.4
2022/5/1,1931660,608.4
2022/5/1,1926493,78
2022/5/1,1920763,726.8
2022/5/1,1910623,129.6
2022/5/1,1904539,1267.4
2022/5/1,1903414,4584.6
2022/5/1,1893105,2926.2
2022/5/1,1886402,1882.8
2022/5/1,1884829,25.4
2022/5/1,1884686,170.4
2022/5/1,1884554,2564.4
2022/5/1,1884449,1318.2
2022/5/1,1879458,3884.4
2022/5/1,1872470,42.6
2022/5/1,1868637,804
2022/5/1,1868369,84
2022/5/1,1865194,42
2022/5/1,1865043,51
2022/5/1,1864620,3869.6
2022/5/1,1863710,579.2
2022/5/1,1863678,2.4
2022/5/1,1862391,20
2022/5/1,1861724,5923.2
2022/5/1,1859115,506.4
2022/5/1,1857527,1436.2
2022/5/1,1855925,4
2022/5/1,1855744,8
2022/5/1,1855339,12.4
2022/5/1,1854736,18
2022/5/1,1850517,1064.8
2022/5/1,1850488,1
2022/5/1,1849364,100.6
2022/5/1,1848858,854.2
2022/5/1,1848612,1251.6
2022/5/1,1847911,6
2022/5/1,1839346,54.8
